model,task,condition,n_obs,n_excluded_orig_invalid,acr_pct,ci_low,ci_high,invalid_rate_pct,original_invalid_rate_pct,explanation_missing_rate_pct,acr_adjusted_pct,acr_adjusted_ci_low,acr_adjusted_ci_high,n_paired_for_adjustment
Llama-3.1-70B-Base,gsm8k,reinject_original,500,0,1.0,0.2,2.0,0.6,0.0,0.0,,,,
Llama-3.1-70B-Base,gsm8k,removal,500,0,68.2,64.0,72.2,0.2,0.0,0.0,67.2,63.0,71.2,500.0
Llama-3.1-70B-Base,gsm8k,swap,1500,0,96.53333333333333,95.6,97.4,0.26666666666666666,0.0,0.0,96.8,95.2,98.2,500.0
Llama-3.1-70B-Base,mmlu_stem,control_irrelevant,1488,12,29.233870967741936,26.948924731182796,31.518817204301076,0.0,0.8,0.0,21.169354838709676,16.93548387096774,25.403225806451612,496.0
Llama-3.1-70B-Base,mmlu_stem,perturb_step_reorder,1488,12,8.870967741935484,7.459677419354839,10.28225806451613,0.0,0.8,0.0,-0.6048387096774194,-2.4193548387096775,1.2096774193548387,496.0
Llama-3.1-70B-Base,mmlu_stem,perturb_word_shuffle,1488,12,18.548387096774192,16.46505376344086,20.56451612903226,0.0,0.8,0.0,9.475806451612904,6.451612903225806,12.701612903225806,496.0
Llama-3.1-70B-Base,mmlu_stem,reinject_original,496,4,9.07258064516129,6.653225806451613,11.693548387096774,0.20161290322580644,0.8,0.0,,,,
Llama-3.1-70B-Base,mmlu_stem,removal,496,4,29.032258064516128,25.0,33.064516129032256,0.0,0.8,0.0,19.95967741935484,15.725806451612904,24.193548387096776,496.0
Llama-3.1-70B-Base,mmlu_stem,swap,1488,12,34.61021505376344,32.19086021505376,37.096774193548384,1.8145161290322582,0.8,0.0,24.798387096774192,20.362903225806452,29.43548387096774,496.0
Llama-3.1-70B-Instruct,gsm8k,control_irrelevant,1500,0,45.733333333333334,43.13333333333333,48.333333333333336,0.0,0.0,0.0,16.0,11.2,20.6,500.0
Llama-3.1-70B-Instruct,gsm8k,perturb_step_reorder,1500,0,35.6,33.2,38.06666666666667,0.26666666666666666,0.0,0.0,6.2,2.4,10.2,500.0
Llama-3.1-70B-Instruct,gsm8k,perturb_word_shuffle,1500,0,48.666666666666664,46.13333333333333,51.2,0.0,0.0,0.0,18.8,13.8,24.0,500.0
Llama-3.1-70B-Instruct,gsm8k,reinject_original,500,0,29.2,25.4,33.2,0.4,0.0,0.0,,,,
Llama-3.1-70B-Instruct,gsm8k,removal,500,0,44.8,40.4,49.2,0.0,0.0,0.0,15.6,10.6,20.8,500.0
Llama-3.1-70B-Instruct,gsm8k,swap,1500,0,46.13333333333333,43.666666666666664,48.733333333333334,0.0,0.0,0.0,15.8,11.0,20.4,500.0
Llama-3.1-70B-Instruct,mmlu_stem,control_irrelevant,1470,30,26.802721088435373,24.5578231292517,29.183673469387756,13.537414965986393,2.0,0.0,19.183673469387756,15.10204081632653,23.26530612244898,490.0
Llama-3.1-70B-Instruct,mmlu_stem,perturb_step_reorder,1470,30,11.768707482993197,10.204081632653061,13.537414965986395,4.625850340136054,2.0,0.0,4.081632653061225,1.836734693877551,6.530612244897959,490.0
Llama-3.1-70B-Instruct,mmlu_stem,perturb_word_shuffle,1470,30,24.421768707482993,22.244897959183675,26.73469387755102,9.659863945578232,2.0,0.0,17.551020408163264,13.877551020408163,21.224489795918366,490.0
Llama-3.1-70B-Instruct,mmlu_stem,reinject_original,490,10,6.73469387755102,4.489795918367347,9.183673469387756,3.061224489795918,2.0,0.0,,,,
Llama-3.1-70B-Instruct,mmlu_stem,removal,490,10,24.285714285714285,20.612244897959183,28.163265306122447,14.897959183673471,2.0,0.0,17.551020408163264,13.46938775510204,21.428571428571427,490.0
Llama-3.1-70B-Instruct,mmlu_stem,swap,1470,30,27.891156462585034,25.64625850340136,30.272108843537413,20.068027210884352,2.0,0.0,19.387755102040817,15.306122448979592,23.46938775510204,490.0
Llama-3.1-8B-Base,gsm8k,control_irrelevant,1500,0,67.33333333333333,65.0,69.73333333333333,24.866666666666667,0.0,0.0,68.2,64.2,72.4,500.0
Llama-3.1-8B-Base,gsm8k,perturb_step_reorder,1500,0,3.066666666666667,2.2666666666666666,3.933333333333333,36.733333333333334,0.0,0.0,1.4,0.4,2.6,500.0
Llama-3.1-8B-Base,gsm8k,perturb_word_shuffle,1500,0,40.53333333333333,38.13333333333333,43.06666666666667,10.6,0.0,0.0,37.0,32.8,41.2,500.0
Llama-3.1-8B-Base,gsm8k,reinject_original,500,0,1.6,0.6,2.8,44.6,0.0,0.0,,,,
Llama-3.1-8B-Base,gsm8k,removal,500,0,89.0,86.2,91.6,0.0,0.0,0.0,87.4,84.4,90.2,500.0
Llama-3.1-8B-Base,gsm8k,swap,1500,0,70.0,67.6,72.26666666666667,26.866666666666667,0.0,0.0,71.2,67.2,75.2,500.0
Llama-3.1-8B-Base,mmlu_stem,control_irrelevant,1476,24,44.579945799457995,41.93766937669377,47.15447154471545,0.0,1.6,0.0,32.926829268292686,28.252032520325205,37.60162601626016,492.0
Llama-3.1-8B-Base,mmlu_stem,perturb_step_reorder,1476,24,15.10840108401084,13.279132791327914,17.005420054200542,0.0,1.6,0.0,3.252032520325203,0.8130081300813008,5.691056910569106,492.0
Llama-3.1-8B-Base,mmlu_stem,perturb_word_shuffle,1476,24,27.4390243902439,25.203252032520325,29.67479674796748,0.0,1.6,0.0,16.260162601626018,12.601626016260163,20.121951219512194,492.0
Llama-3.1-8B-Base,mmlu_stem,reinject_original,492,8,11.382113821138212,8.739837398373984,14.227642276422765,0.0,1.6,0.0,,,,
Llama-3.1-8B-Base,mmlu_stem,removal,492,8,42.073170731707314,37.60162601626016,46.54471544715447,0.0,1.6,0.0,30.691056910569106,26.016260162601625,35.36585365853659,492.0
Llama-3.1-8B-Base,mmlu_stem,swap,1476,24,46.883468834688344,44.37669376693767,49.4579945799458,0.27100271002710025,1.6,0.0,36.58536585365854,31.70731707317073,41.46341463414634,492.0
Llama-3.1-8B-Instruct,gsm8k,control_irrelevant,1500,0,52.733333333333334,50.266666666666666,55.266666666666666,0.0,0.0,0.0,7.2,1.6,13.0,500.0
Llama-3.1-8B-Instruct,gsm8k,perturb_step_reorder,1500,0,52.13333333333333,49.53333333333333,54.666666666666664,0.0,0.0,0.0,7.0,2.8,11.2,500.0
Llama-3.1-8B-Instruct,gsm8k,perturb_word_shuffle,1500,0,54.333333333333336,51.86666666666667,56.8,0.0,0.0,0.0,10.0,4.6,15.4,500.0
Llama-3.1-8B-Instruct,gsm8k,reinject_original,500,0,45.2,40.8,49.6,0.0,0.0,0.0,,,,
Llama-3.1-8B-Instruct,gsm8k,removal,500,0,50.8,46.2,55.2,0.0,0.0,0.0,5.6,0.0,11.4,500.0
Llama-3.1-8B-Instruct,gsm8k,swap,1500,0,55.0,52.53333333333333,57.6,0.0,0.0,0.0,9.0,3.4,14.4,500.0
Llama-3.1-8B-Instruct,mmlu_stem,control_irrelevant,1419,81,34.74277660324172,32.27625088090204,37.279774489076814,14.305849189570118,5.4,0.0,25.158562367864693,20.084566596194502,30.021141649048626,473.0
Llama-3.1-8B-Instruct,mmlu_stem,perturb_step_reorder,1419,81,17.688513037350248,15.715292459478507,19.732205778717407,7.6109936575052854,5.4,0.0,7.822410147991543,4.651162790697675,11.20507399577167,473.0
Llama-3.1-8B-Instruct,mmlu_stem,perturb_word_shuffle,1419,81,30.58491895701198,28.188865398167724,33.051444679351654,13.389711064129669,5.4,0.0,20.718816067653275,16.067653276955603,25.36997885835095,473.0
Llama-3.1-8B-Instruct,mmlu_stem,reinject_original,473,27,9.090909090909092,6.553911205073995,11.839323467230445,2.9598308668076108,5.4,0.0,,,,
Llama-3.1-8B-Instruct,mmlu_stem,removal,473,27,32.76955602536998,28.32980972515856,36.78646934460888,12.896405919661733,5.4,0.0,23.67864693446089,18.6046511627907,28.32980972515856,473.0
Llama-3.1-8B-Instruct,mmlu_stem,swap,1419,81,40.94432699083862,38.40732910500353,43.41085271317829,19.23890063424947,5.4,0.0,31.078224101479915,25.792811839323466,36.15221987315011,473.0
Qwen2.5-32B-Base,gsm8k,control_irrelevant,1500,0,60.86666666666667,58.4,63.333333333333336,1.3333333333333335,0.0,0.0,60.0,55.8,64.2,500.0
Qwen2.5-32B-Base,gsm8k,perturb_step_reorder,1500,0,2.1333333333333333,1.4666666666666666,2.8666666666666667,0.0,0.0,0.0,0.2,-0.4,0.8,500.0
Qwen2.5-32B-Base,gsm8k,perturb_word_shuffle,1500,0,18.6,16.733333333333334,20.6,0.0,0.0,0.0,14.2,11.2,17.4,500.0
Qwen2.5-32B-Base,gsm8k,reinject_original,500,0,1.2,0.4,2.2,1.7999999999999998,0.0,0.0,,,,
Qwen2.5-32B-Base,gsm8k,removal,500,0,12.2,9.4,15.2,0.0,0.0,0.0,11.0,8.4,13.8,500.0
Qwen2.5-32B-Base,gsm8k,swap,1500,0,74.13333333333334,71.86666666666666,76.33333333333333,5.4,0.0,0.0,76.2,72.4,80.0,500.0
Qwen2.5-32B-Base,mmlu_stem,control_irrelevant,1485,15,30.37037037037037,28.08080808080808,32.72727272727273,3.0976430976430978,1.0,0.0,26.464646464646464,22.424242424242426,30.505050505050505,495.0
Qwen2.5-32B-Base,mmlu_stem,perturb_step_reorder,1485,15,2.962962962962963,2.154882154882155,3.8383838383838382,0.0,1.0,0.0,0.6060606060606061,-0.6060606060606061,2.0202020202020203,495.0
Qwen2.5-32B-Base,mmlu_stem,perturb_word_shuffle,1485,15,9.696969696969697,8.215488215488216,11.245791245791246,0.0,1.0,0.0,6.4646464646464645,4.040404040404041,9.090909090909092,495.0
Qwen2.5-32B-Base,mmlu_stem,reinject_original,495,5,2.2222222222222223,1.0101010101010102,3.6363636363636362,0.0,1.0,0.0,,,,
Qwen2.5-32B-Base,mmlu_stem,removal,495,5,18.98989898989899,15.555555555555555,22.626262626262626,0.0,1.0,0.0,16.767676767676768,13.131313131313131,20.404040404040405,495.0
Qwen2.5-32B-Base,mmlu_stem,swap,1485,15,38.31649831649832,35.89225589225589,40.74074074074074,4.646464646464646,1.0,0.0,33.333333333333336,29.09090909090909,37.57575757575758,495.0
Qwen2.5-32B-Instruct,gsm8k,control_irrelevant,1500,0,51.733333333333334,49.266666666666666,54.266666666666666,0.0,0.0,0.0,28.2,23.4,33.0,500.0
Qwen2.5-32B-Instruct,gsm8k,perturb_step_reorder,1500,0,43.93333333333333,41.4,46.333333333333336,0.0,0.0,0.0,19.8,15.4,24.2,500.0
Qwen2.5-32B-Instruct,gsm8k,perturb_word_shuffle,1500,0,52.266666666666666,49.733333333333334,54.8,0.0,0.0,0.0,28.0,23.0,32.8,500.0
Qwen2.5-32B-Instruct,gsm8k,reinject_original,500,0,24.6,20.8,28.4,0.2,0.0,0.0,,,,
Qwen2.5-32B-Instruct,gsm8k,removal,500,0,53.6,49.2,58.0,0.0,0.0,0.0,29.0,24.0,33.8,500.0
Qwen2.5-32B-Instruct,gsm8k,swap,1500,0,49.86666666666667,47.266666666666666,52.46666666666667,0.0,0.0,0.0,23.6,19.0,28.2,500.0
Qwen2.5-32B-Instruct,mmlu_stem,control_irrelevant,1440,60,37.986111111111114,35.416666666666664,40.55555555555556,33.05555555555556,4.0,0.0,25.833333333333332,20.833333333333332,30.833333333333332,480.0
Qwen2.5-32B-Instruct,mmlu_stem,perturb_step_reorder,1440,60,15.277777777777779,13.472222222222221,17.22222222222222,8.402777777777779,4.0,0.0,2.5,-0.8333333333333334,5.833333333333333,480.0
Qwen2.5-32B-Instruct,mmlu_stem,perturb_word_shuffle,1440,60,28.055555555555557,25.76388888888889,30.416666666666668,12.569444444444445,4.0,0.0,16.25,11.875,20.625,480.0
Qwen2.5-32B-Instruct,mmlu_stem,reinject_original,480,20,11.25,8.541666666666666,14.166666666666666,5.416666666666667,4.0,0.0,,,,
Qwen2.5-32B-Instruct,mmlu_stem,removal,480,20,32.083333333333336,27.916666666666668,36.25,15.833333333333332,4.0,0.0,20.833333333333332,16.25,25.625,480.0
Qwen2.5-32B-Instruct,mmlu_stem,swap,1440,60,61.111111111111114,58.611111111111114,63.611111111111114,11.25,4.0,0.0,54.583333333333336,49.583333333333336,59.583333333333336,480.0
Qwen3-8B-Base,gsm8k,control_irrelevant,1497,3,55.2438209752839,52.63861055444222,57.782231128924515,26.118904475617903,0.2,0.0,53.3066132264529,48.897795591182366,57.71543086172345,499.0
Qwen3-8B-Base,gsm8k,perturb_step_reorder,1497,3,6.012024048096192,4.876419505678022,7.2812291249165,0.0,0.2,0.0,2.6052104208416833,1.2024048096192386,4.208416833667335,499.0
Qwen3-8B-Base,gsm8k,perturb_word_shuffle,1497,3,27.588510354041418,25.31730126920508,29.859719438877754,1.068804275217101,0.2,0.0,20.240480961923847,16.63326653306613,23.647294589178358,499.0
Qwen3-8B-Base,gsm8k,reinject_original,499,1,3.406813627254509,1.8036072144288577,5.01002004008016,0.0,0.2,0.0,,,,
Qwen3-8B-Base,gsm8k,removal,499,1,21.04208416833667,17.43486973947896,24.448897795591183,0.0,0.2,0.0,17.635270541082164,14.428857715430862,21.04208416833667,499.0
Qwen3-8B-Base,gsm8k,swap,1497,3,98.73079492317969,98.12959251837007,99.26519706078824,0.26720106880427524,0.2,0.0,96.59318637274549,94.98997995991984,98.19639278557115,499.0
Qwen3-8B-Base,mmlu_stem,control_irrelevant,1491,9,26.42521797451375,24.21193829644534,28.63849765258216,1.5425888665325285,0.6,0.0,21.327967806841045,17.505030181086518,25.35211267605634,497.0
Qwen3-8B-Base,mmlu_stem,perturb_step_reorder,1491,9,5.56673373574782,4.426559356136821,6.773977196512408,0.0670690811535882,0.6,0.0,0.8048289738430584,-0.8048289738430584,2.414486921529175,497.0
Qwen3-8B-Base,mmlu_stem,perturb_word_shuffle,1491,9,13.212608987256875,11.46881287726358,14.956405097250167,0.0,0.6,0.0,7.645875251509055,4.82897384305835,10.663983903420522,497.0
Qwen3-8B-Base,mmlu_stem,reinject_original,497,3,4.82897384305835,3.0181086519114686,6.841046277665996,0.6036217303822937,0.6,0.0,,,,
Qwen3-8B-Base,mmlu_stem,removal,497,3,24.748490945674043,21.12676056338028,28.571428571428573,1.0060362173038229,0.6,0.0,19.919517102615693,15.895372233400403,23.943661971830984,497.0
Qwen3-8B-Base,mmlu_stem,swap,1491,9,37.15627095908786,34.74178403755869,39.63782696177062,4.896042924211938,0.6,0.0,31.58953722334004,27.16297786720322,36.01609657947686,497.0
Qwen3-8B-Instruct,gsm8k,control_irrelevant,1482,18,10.1889338731444,8.704453441295547,11.740890688259109,0.1349527665317139,1.2,0.0,8.299595141700404,5.870445344129554,10.931174089068826,494.0
Qwen3-8B-Instruct,gsm8k,perturb_step_reorder,1482,18,4.385964912280702,3.3738191632928474,5.465587044534413,0.0,1.2,0.0,2.0242914979757085,0.4048582995951417,3.8461538461538463,494.0
Qwen3-8B-Instruct,gsm8k,perturb_word_shuffle,1482,18,11.875843454790823,10.256410256410257,13.562753036437247,0.0,1.2,0.0,9.7165991902834,6.882591093117409,12.753036437246964,494.0
Qwen3-8B-Instruct,gsm8k,reinject_original,494,6,1.8218623481781377,0.8097165991902834,3.0364372469635628,0.0,1.2,0.0,,,,
Qwen3-8B-Instruct,gsm8k,removal,494,6,9.7165991902834,7.287449392712551,12.348178137651821,0.0,1.2,0.0,7.894736842105263,5.465587044534413,10.526315789473685,494.0
Qwen3-8B-Instruct,gsm8k,swap,1482,18,14.17004048582996,12.415654520917679,16.059379217273953,0.0,1.2,0.0,9.31174089068826,6.680161943319838,12.145748987854251,494.0
Qwen3-8B-Instruct,mmlu_stem,control_irrelevant,1476,24,42.20867208672087,39.70189701897019,44.85094850948509,13.346883468834688,1.6,0.0,23.983739837398375,19.715447154471544,28.45528455284553,492.0
Qwen3-8B-Instruct,mmlu_stem,perturb_step_reorder,1476,24,29.67479674796748,27.303523035230352,32.046070460704605,8.875338753387533,1.6,0.0,10.16260162601626,6.9105691056910565,13.414634146341463,492.0
Qwen3-8B-Instruct,mmlu_stem,perturb_word_shuffle,1476,24,42.953929539295395,40.447154471544714,45.59620596205962,12.940379403794038,1.6,0.0,23.78048780487805,19.51219512195122,28.252032520325205,492.0
Qwen3-8B-Instruct,mmlu_stem,reinject_original,492,8,18.495934959349594,15.040650406504065,21.951219512195124,7.113821138211382,1.6,0.0,,,,
Qwen3-8B-Instruct,mmlu_stem,removal,492,8,38.00813008130081,33.739837398373986,42.479674796747965,16.056910569105693,1.6,0.0,19.51219512195122,15.447154471544716,23.78048780487805,492.0
Qwen3-8B-Instruct,mmlu_stem,swap,1476,24,58.40108401084011,55.89430894308943,60.97560975609756,18.089430894308943,1.6,0.0,43.292682926829265,38.61788617886179,48.170731707317074,492.0
