right_to_wrong,wrong_to_right,wrong_to_wrong_diff,no_change_correct,no_change_incorrect,model,task,condition,n_valid
55.472972972972975,1.2162162162162162,5.0,37.229729729729726,1.0810810810810811,Qwen2.5-32B-Base,gsm8k,control_irrelevant,1480
1.0,1.0,0.13333333333333333,91.6,6.266666666666667,Qwen2.5-32B-Base,gsm8k,perturb_step_reorder,1500
15.666666666666666,1.1333333333333333,1.8,76.93333333333334,4.466666666666667,Qwen2.5-32B-Base,gsm8k,perturb_word_shuffle,1500
0.0,1.2219959266802445,0.0,92.66802443991854,6.109979633401222,Qwen2.5-32B-Base,gsm8k,reinject_original,491
7.0,2.4,2.8,85.6,2.2,Qwen2.5-32B-Base,gsm8k,removal,500
71.67019027484143,0.49330514446793516,6.2015503875969,21.141649048625794,0.49330514446793516,Qwen2.5-32B-Base,gsm8k,swap,1419
21.403752605976372,6.6712995135510775,3.2661570535093816,58.72133425990271,9.937456567060458,Qwen2.5-32B-Base,mmlu_stem,control_irrelevant,1439
1.0774410774410774,0.9427609427609428,0.9427609427609428,79.12457912457913,17.912457912457914,Qwen2.5-32B-Base,mmlu_stem,perturb_step_reorder,1485
4.646464646464646,3.4343434343434343,1.6161616161616161,75.55555555555556,14.747474747474747,Qwen2.5-32B-Base,mmlu_stem,perturb_word_shuffle,1485
0.8080808080808081,0.8080808080808081,0.6060606060606061,79.39393939393939,18.383838383838384,Qwen2.5-32B-Base,mmlu_stem,reinject_original,495
8.88888888888889,7.6767676767676765,2.4242424242424243,71.31313131313131,9.696969696969697,Qwen2.5-32B-Base,mmlu_stem,removal,495
28.954802259887007,6.3559322033898304,4.872881355932203,50.77683615819209,9.03954802259887,Qwen2.5-32B-Base,mmlu_stem,swap,1416
31.266666666666666,12.133333333333333,8.333333333333334,43.333333333333336,4.933333333333334,Qwen2.5-32B-Instruct,gsm8k,control_irrelevant,1500
25.533333333333335,11.866666666666667,6.533333333333333,49.06666666666667,7.0,Qwen2.5-32B-Instruct,gsm8k,perturb_step_reorder,1500
32.6,10.8,8.866666666666667,42.0,5.733333333333333,Qwen2.5-32B-Instruct,gsm8k,perturb_word_shuffle,1500
4.609218436873747,17.034068136272545,3.006012024048096,70.14028056112224,5.210420841683367,Qwen2.5-32B-Instruct,gsm8k,reinject_original,499
34.4,10.8,8.4,40.2,6.2,Qwen2.5-32B-Instruct,gsm8k,removal,500
29.733333333333334,11.866666666666667,8.266666666666667,44.86666666666667,5.266666666666667,Qwen2.5-32B-Instruct,gsm8k,swap,1500
49.5850622406639,2.2821576763485476,4.875518672199171,34.439834024896264,8.817427385892117,Qwen2.5-32B-Instruct,mmlu_stem,control_irrelevant,964
12.88855193328279,1.8953752843062925,1.8953752843062925,70.12888551933283,13.191811978771797,Qwen2.5-32B-Instruct,mmlu_stem,perturb_step_reorder,1319
26.76727561556791,3.097696584590945,2.2239872915011913,56.55281969817315,11.358220810166799,Qwen2.5-32B-Instruct,mmlu_stem,perturb_word_shuffle,1259
6.167400881057269,3.7444933920704844,1.9823788546255507,77.97356828193833,10.13215859030837,Qwen2.5-32B-Instruct,mmlu_stem,reinject_original,454
31.683168316831683,2.722772277227723,3.712871287128713,51.48514851485149,10.396039603960396,Qwen2.5-32B-Instruct,mmlu_stem,removal,404
60.328638497652584,1.408450704225352,7.120500782472614,22.848200312989047,8.294209702660407,Qwen2.5-32B-Instruct,mmlu_stem,swap,1278
59.403254972875224,2.6220614828209765,12.74864376130199,23.779385171790235,1.4466546112115732,Qwen3-8B-Base,gsm8k,control_irrelevant,1106
1.2692050768203074,3.406813627254509,1.3360053440213762,81.89712758851036,12.090848363393453,Qwen3-8B-Base,gsm8k,perturb_step_reorder,1497
18.906144496961513,2.6333558406482105,6.347062795408508,64.07832545577313,8.035111411208643,Qwen3-8B-Base,gsm8k,perturb_word_shuffle,1481
0.20040080160320642,2.6052104208416833,0.6012024048096193,82.96593186372745,13.627254509018035,Qwen3-8B-Base,gsm8k,reinject_original,499
8.216432865731463,7.214428857715431,5.61122244488978,74.9498997995992,4.008016032064128,Qwen3-8B-Base,gsm8k,removal,499
82.31748158070998,0.06697923643670463,16.610850636302747,0.8037508372404555,0.20093770931011387,Qwen3-8B-Base,gsm8k,swap,1493
12.602179836512262,8.787465940054496,5.449591280653951,62.26158038147139,10.899182561307901,Qwen3-8B-Base,mmlu_stem,control_irrelevant,1468
2.0805369127516777,2.0805369127516777,1.4093959731543624,72.21476510067114,22.21476510067114,Qwen3-8B-Base,mmlu_stem,perturb_step_reorder,1490
5.4325955734406435,4.493628437290409,3.2863849765258215,68.81287726358148,17.974513749161638,Qwen3-8B-Base,mmlu_stem,perturb_word_shuffle,1491
2.0242914979757085,1.417004048582996,1.417004048582996,72.67206477732793,22.469635627530366,Qwen3-8B-Base,mmlu_stem,reinject_original,494
11.178861788617887,8.536585365853659,5.284552845528455,63.82113821138211,11.178861788617887,Qwen3-8B-Base,mmlu_stem,removal,492
23.2722143864598,7.616361071932299,8.180535966149506,50.49365303244006,10.437235543018335,Qwen3-8B-Base,mmlu_stem,swap,1418
3.918918918918919,4.256756756756757,2.027027027027027,86.75675675675676,3.0405405405405403,Qwen3-8B-Instruct,gsm8k,control_irrelevant,1480
2.699055330634278,0.8097165991902834,0.8771929824561403,87.98920377867746,7.624831309041835,Qwen3-8B-Instruct,gsm8k,perturb_step_reorder,1482
6.275303643724697,3.1713900134952766,2.42914979757085,84.41295546558705,3.7112010796221324,Qwen3-8B-Instruct,gsm8k,perturb_word_shuffle,1482
0.6072874493927125,0.6072874493927125,0.6072874493927125,90.08097165991903,8.097165991902834,Qwen3-8B-Instruct,gsm8k,reinject_original,494
3.0364372469635628,5.060728744939271,1.6194331983805668,87.65182186234817,2.6315789473684212,Qwen3-8B-Instruct,gsm8k,removal,494
7.827260458839406,3.913630229419703,2.42914979757085,82.86099865047234,2.968960863697706,Qwen3-8B-Instruct,gsm8k,swap,1482
38.15480844409695,3.5183737294761532,7.0367474589523065,44.48788115715403,6.802189210320563,Qwen3-8B-Instruct,mmlu_stem,control_irrelevant,1279
26.691449814126393,1.412639405204461,4.4609665427509295,56.80297397769517,10.631970260223047,Qwen3-8B-Instruct,mmlu_stem,perturb_step_reorder,1345
39.53307392996109,3.11284046692607,6.692607003891051,44.12451361867704,6.536964980544747,Qwen3-8B-Instruct,mmlu_stem,perturb_word_shuffle,1285
16.411378555798688,0.2188183807439825,3.2822757111597376,66.52078774617068,13.566739606126914,Qwen3-8B-Instruct,mmlu_stem,reinject_original,457
36.56174334140436,3.1476997578692494,5.5690072639225185,47.45762711864407,7.263922518159807,Qwen3-8B-Instruct,mmlu_stem,removal,413
58.64350703060381,3.0603804797353185,9.594706368899917,24.648469809760133,4.052936311000827,Qwen3-8B-Instruct,mmlu_stem,swap,1209
