model,task,condition_a,condition_b,n_paired,statistic,p_value,b,c
Gemma-7B-Instruct,mmlu_stem,removal,perturb_step_reorder,500,5.960264900662252,0.014631842583603295,91,60
Gemma-7B-Instruct,mmlu_stem,removal,swap,500,2.020618556701031,0.15517591839325415,56,41
Gemma-7B-Instruct,mmlu_stem,removal,control_irrelevant,500,19.384615384615383,1.0686448663695677e-05,67,24
Gemma-7B-Instruct,mmlu_stem,removal,reinject_original,500,5.408,0.020044668622627458,76,49
Gemma-7B-Instruct,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,1.7045454545454546,0.191694602051888,74,58
Gemma-7B-Instruct,mmlu_stem,perturb_word_shuffle,swap,500,0.011627906976744186,0.9141283452014198,43,43
Gemma-7B-Instruct,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,8.1,0.004426525857919833,59,31
Gemma-7B-Instruct,mmlu_stem,perturb_word_shuffle,reinject_original,500,1.0803571428571428,0.29861767444881016,62,50
Gemma-7B-Instruct,mmlu_stem,perturb_step_reorder,swap,500,1.480263157894737,0.22373335334961325,68,84
Gemma-7B-Instruct,mmlu_stem,perturb_step_reorder,control_irrelevant,500,0.852112676056338,0.3559553582416324,77,65
Gemma-7B-Instruct,mmlu_stem,perturb_step_reorder,reinject_original,500,0.075,0.7841912294016191,58,62
Gemma-7B-Instruct,mmlu_stem,swap,control_irrelevant,500,6.508928571428571,0.010733416102997193,70,42
Gemma-7B-Instruct,mmlu_stem,swap,reinject_original,500,1.0254237288135593,0.3112359310223541,65,53
Gemma-7B-Instruct,mmlu_stem,control_irrelevant,reinject_original,500,1.7307692307692308,0.18831268948891652,57,73
Llama-3.1-70B-Base,gsm8k,removal,perturb_word_shuffle,500,173.44237918215615,1.3102660338476558e-39,243,26
Llama-3.1-70B-Base,gsm8k,removal,perturb_step_reorder,500,320.0276073619632,1.4285247204715268e-71,325,1
Llama-3.1-70B-Base,gsm8k,removal,swap,500,142.16447368421052,8.951964887604747e-33,2,150
Llama-3.1-70B-Base,gsm8k,removal,control_irrelevant,500,10.445652173913043,0.0012293849189448588,30,62
Llama-3.1-70B-Base,gsm8k,removal,reinject_original,500,334.0029761904762,1.2910690321850173e-74,336,0
Llama-3.1-70B-Base,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,92.85950413223141,5.614157056163668e-22,114,7
Llama-3.1-70B-Base,gsm8k,perturb_word_shuffle,swap,500,361.02452316076295,1.684604118527402e-80,1,366
Llama-3.1-70B-Base,gsm8k,perturb_word_shuffle,control_irrelevant,500,207.0841750841751,5.943426382613652e-47,24,273
Llama-3.1-70B-Base,gsm8k,perturb_word_shuffle,reinject_original,500,113.20325203252033,1.947518530339763e-26,121,2
Llama-3.1-70B-Base,gsm8k,perturb_step_reorder,swap,500,470.0021186440678,3.2011622459220026e-104,0,472
Llama-3.1-70B-Base,gsm8k,perturb_step_reorder,control_irrelevant,500,352.02513966480444,1.5351129523309935e-78,1,357
Llama-3.1-70B-Base,gsm8k,perturb_step_reorder,reinject_original,500,8.642857142857142,0.003283460986069042,13,1
Llama-3.1-70B-Base,gsm8k,swap,control_irrelevant,500,110.20833333333333,8.821497035746955e-26,118,2
Llama-3.1-70B-Base,gsm8k,swap,reinject_original,500,482.00206611570246,7.836108229979887e-107,484,0
Llama-3.1-70B-Base,gsm8k,control_irrelevant,reinject_original,500,366.0027173913044,1.3884781634365477e-81,368,0
Llama-3.1-70B-Base,mmlu_stem,removal,perturb_word_shuffle,500,28.9,7.621291296382964e-08,71,19
Llama-3.1-70B-Base,mmlu_stem,removal,perturb_step_reorder,500,77.28030303030303,1.4833802534069502e-18,117,15
Llama-3.1-70B-Base,mmlu_stem,removal,swap,500,5.877777777777778,0.015333162113602826,33,57
Llama-3.1-70B-Base,mmlu_stem,removal,control_irrelevant,500,0.46296296296296297,0.49624247444426295,24,30
Llama-3.1-70B-Base,mmlu_stem,removal,reinject_original,500,73.31297709923665,1.1063809311120672e-17,115,16
Llama-3.1-70B-Base,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,37.515625,9.068360653390543e-10,57,7
Llama-3.1-70B-Base,mmlu_stem,perturb_word_shuffle,swap,500,43.26923076923077,4.7702619838691335e-11,27,103
Llama-3.1-70B-Base,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,31.240384615384617,2.279738486494483e-08,23,81
Llama-3.1-70B-Base,mmlu_stem,perturb_word_shuffle,reinject_original,500,31.582089552238806,1.911847924385673e-08,57,10
Llama-3.1-70B-Base,mmlu_stem,perturb_step_reorder,swap,500,101.46103896103897,7.288295976278294e-24,14,140
Llama-3.1-70B-Base,mmlu_stem,perturb_step_reorder,control_irrelevant,500,82.96376811594203,8.357123582198972e-20,15,123
Llama-3.1-70B-Base,mmlu_stem,perturb_step_reorder,reinject_original,500,0.19047619047619047,0.6625205835400575,9,12
Llama-3.1-70B-Base,mmlu_stem,swap,control_irrelevant,500,4.013888888888889,0.04512694888867613,45,27
Llama-3.1-70B-Base,mmlu_stem,swap,reinject_original,500,94.80254777070064,2.1035473029404886e-22,140,17
Llama-3.1-70B-Base,mmlu_stem,control_irrelevant,reinject_original,500,76.70921985815603,1.9807647571815653e-18,123,18
Llama-3.1-70B-Instruct,gsm8k,removal,perturb_word_shuffle,500,1.2784090909090908,0.2581950475839451,80,96
Llama-3.1-70B-Instruct,gsm8k,removal,perturb_step_reorder,500,10.963730569948186,0.000929125744973309,120,73
Llama-3.1-70B-Instruct,gsm8k,removal,swap,500,0.0,1.0,67,68
Llama-3.1-70B-Instruct,gsm8k,removal,control_irrelevant,500,0.00847457627118644,0.9266523854568796,58,60
Llama-3.1-70B-Instruct,gsm8k,removal,reinject_original,500,31.876344086021504,1.643060375705934e-08,132,54
Llama-3.1-70B-Instruct,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,21.005464480874316,4.579752864672793e-06,123,60
Llama-3.1-70B-Instruct,gsm8k,perturb_word_shuffle,swap,500,1.1329479768786128,0.28714740257408156,94,79
Llama-3.1-70B-Instruct,gsm8k,perturb_word_shuffle,control_irrelevant,500,1.0974025974025974,0.29483683301991437,84,70
Llama-3.1-70B-Instruct,gsm8k,perturb_word_shuffle,reinject_original,500,46.005319148936174,1.1793235393742475e-11,141,47
Llama-3.1-70B-Instruct,gsm8k,perturb_step_reorder,swap,500,12.137362637362637,0.0004942161757447732,67,115
Llama-3.1-70B-Instruct,gsm8k,perturb_step_reorder,control_irrelevant,500,13.31791907514451,0.00026288175626595195,62,111
Llama-3.1-70B-Instruct,gsm8k,perturb_step_reorder,reinject_original,500,8.910891089108912,0.0028347490802593913,66,35
Llama-3.1-70B-Instruct,gsm8k,swap,control_irrelevant,500,0.0,1.0,63,64
Llama-3.1-70B-Instruct,gsm8k,swap,reinject_original,500,38.264150943396224,6.178737791649346e-10,119,40
Llama-3.1-70B-Instruct,gsm8k,control_irrelevant,reinject_original,500,38.05487804878049,6.878253119565494e-10,122,42
Llama-3.1-70B-Instruct,mmlu_stem,removal,perturb_word_shuffle,500,0.016666666666666666,0.897278961260083,30,30
Llama-3.1-70B-Instruct,mmlu_stem,removal,perturb_step_reorder,500,40.625,1.8443184305858213e-10,85,19
Llama-3.1-70B-Instruct,mmlu_stem,removal,swap,500,1.0847457627118644,0.29763831714664335,25,34
Llama-3.1-70B-Instruct,mmlu_stem,removal,control_irrelevant,500,1.1136363636363635,0.2912928476178128,18,26
Llama-3.1-70B-Instruct,mmlu_stem,removal,reinject_original,500,65.68181818181819,5.299249444913211e-16,98,12
Llama-3.1-70B-Instruct,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,51.52439024390244,7.071311815297118e-13,74,8
Llama-3.1-70B-Instruct,mmlu_stem,perturb_word_shuffle,swap,500,0.7710843373493976,0.37988181279906974,37,46
Llama-3.1-70B-Instruct,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,0.9074074074074074,0.34080324688608465,23,31
Llama-3.1-70B-Instruct,mmlu_stem,perturb_word_shuffle,reinject_original,500,73.72448979591837,8.981758896467203e-18,92,6
Llama-3.1-70B-Instruct,mmlu_stem,perturb_step_reorder,swap,500,46.8034188034188,7.847638703137218e-12,21,96
Llama-3.1-70B-Instruct,mmlu_stem,perturb_step_reorder,control_irrelevant,500,48.445454545454545,3.396045681823803e-12,18,92
Llama-3.1-70B-Instruct,mmlu_stem,perturb_step_reorder,reinject_original,500,10.027777777777779,0.001541969568939951,28,8
Llama-3.1-70B-Instruct,mmlu_stem,swap,control_irrelevant,500,0.0,1.0,29,28
Llama-3.1-70B-Instruct,mmlu_stem,swap,reinject_original,500,70.688,4.184298969701855e-17,110,15
Llama-3.1-70B-Instruct,mmlu_stem,control_irrelevant,reinject_original,500,74.5603448275862,5.881277782203857e-18,105,11
Llama-3.1-8B-Base,gsm8k,removal,perturb_word_shuffle,500,235.07835820895522,4.654667313595716e-53,260,8
Llama-3.1-8B-Base,gsm8k,removal,perturb_step_reorder,500,426.0208333333333,1.1938852585284227e-94,431,1
Llama-3.1-8B-Base,gsm8k,removal,swap,500,40.25157232704402,2.2327557347154346e-10,120,39
Llama-3.1-8B-Base,gsm8k,removal,control_irrelevant,500,68.37121212121212,1.3544045175429455e-16,114,18
Llama-3.1-8B-Base,gsm8k,removal,reinject_original,500,435.00228832951944,1.3248138910237616e-96,437,0
Llama-3.1-8B-Base,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,170.2663043478261,6.471474170607777e-39,181,3
Llama-3.1-8B-Base,gsm8k,perturb_word_shuffle,swap,500,112.45136186770428,2.8456074001234286e-26,43,214
Llama-3.1-8B-Base,gsm8k,perturb_word_shuffle,control_irrelevant,500,96.1,1.0922480022665149e-22,47,203
Llama-3.1-8B-Base,gsm8k,perturb_word_shuffle,reinject_original,500,183.0054054054054,1.0696647723168782e-41,185,0
Llama-3.1-8B-Base,gsm8k,perturb_step_reorder,swap,500,343.07082152974505,1.368072192789872e-76,2,351
Llama-3.1-8B-Base,gsm8k,perturb_step_reorder,control_irrelevant,500,326.1441176470588,6.646889208132825e-73,3,337
Llama-3.1-8B-Base,gsm8k,perturb_step_reorder,reinject_original,500,4.0,0.045500263896358396,8,1
Llama-3.1-8B-Base,gsm8k,swap,control_irrelevant,500,1.3706293706293706,0.24170377856634306,79,64
Llama-3.1-8B-Base,gsm8k,swap,reinject_original,500,352.02513966480444,1.5351129523309935e-78,357,1
Llama-3.1-8B-Base,gsm8k,control_irrelevant,reinject_original,500,337.02623906705537,2.834725934671728e-75,342,1
Llama-3.1-8B-Base,mmlu_stem,removal,perturb_word_shuffle,500,36.8421052631579,1.2809373715896379e-09,102,31
Llama-3.1-8B-Base,mmlu_stem,removal,perturb_step_reorder,500,96.02139037433155,1.1364891671622257e-22,161,26
Llama-3.1-8B-Base,mmlu_stem,removal,swap,500,7.91919191919192,0.004891311452359335,35,64
Llama-3.1-8B-Base,mmlu_stem,removal,control_irrelevant,500,1.2658227848101267,0.2605517878085873,34,45
Llama-3.1-8B-Base,mmlu_stem,removal,reinject_original,500,119.04761904761905,1.022452697194303e-27,170,19
Llama-3.1-8B-Base,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,41.34375,1.2767903736292854e-10,80,16
Llama-3.1-8B-Base,mmlu_stem,perturb_word_shuffle,swap,500,69.02112676056338,9.741429937523459e-17,21,121
Llama-3.1-8B-Base,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,52.91129032258065,3.489579064913565e-13,21,103
Llama-3.1-8B-Base,mmlu_stem,perturb_word_shuffle,reinject_original,500,58.87735849056604,1.6781215858080128e-14,93,13
Llama-3.1-8B-Base,mmlu_stem,perturb_step_reorder,swap,500,130.24019607843138,3.630742456199671e-30,20,184
Llama-3.1-8B-Base,mmlu_stem,perturb_step_reorder,control_irrelevant,500,115.52197802197803,6.048499215504988e-27,18,164
Llama-3.1-8B-Base,mmlu_stem,perturb_step_reorder,reinject_original,500,5.921052631578948,0.014961017675175686,27,11
Llama-3.1-8B-Base,mmlu_stem,swap,control_irrelevant,500,4.013888888888889,0.04512694888867613,45,27
Llama-3.1-8B-Base,mmlu_stem,swap,reinject_original,500,152.57619047619048,4.741291623440789e-35,195,15
Llama-3.1-8B-Base,mmlu_stem,control_irrelevant,reinject_original,500,142.42307692307693,7.859123446220369e-33,172,10
Llama-3.1-8B-Instruct,gsm8k,removal,perturb_word_shuffle,500,3.15,0.07592696298255767,59,81
Llama-3.1-8B-Instruct,gsm8k,removal,perturb_step_reorder,500,0.19889502762430938,0.6556142300247397,87,94
Llama-3.1-8B-Instruct,gsm8k,removal,swap,500,1.9541984732824427,0.1621351427341109,57,74
Llama-3.1-8B-Instruct,gsm8k,removal,control_irrelevant,500,0.4016393442622951,0.5262438434591222,57,65
Llama-3.1-8B-Instruct,gsm8k,removal,reinject_original,500,3.5048076923076925,0.0611909494025731,118,90
Llama-3.1-8B-Instruct,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,1.0481283422459893,0.3059385405388809,101,86
Llama-3.1-8B-Instruct,gsm8k,perturb_word_shuffle,swap,500,0.13675213675213677,0.711531417761122,61,56
Llama-3.1-8B-Instruct,gsm8k,perturb_word_shuffle,control_irrelevant,500,1.5648148148148149,0.21096162903585997,61,47
Llama-3.1-8B-Instruct,gsm8k,perturb_word_shuffle,reinject_original,500,12.25,0.0004652581580710501,123,73
Llama-3.1-8B-Instruct,gsm8k,perturb_step_reorder,swap,500,0.4550561797752809,0.49994358369975467,84,94
Llama-3.1-8B-Instruct,gsm8k,perturb_step_reorder,control_irrelevant,500,0.0,1.0,85,86
Llama-3.1-8B-Instruct,gsm8k,perturb_step_reorder,reinject_original,500,9.553719008264462,0.001995447172575822,78,43
Llama-3.1-8B-Instruct,gsm8k,swap,control_irrelevant,500,0.6213592233009708,0.4305426381747609,56,47
Llama-3.1-8B-Instruct,gsm8k,swap,reinject_original,500,9.82741116751269,0.0017193016746180772,121,76
Llama-3.1-8B-Instruct,gsm8k,control_irrelevant,reinject_original,500,5.889423076923077,0.015232089753898103,122,86
Llama-3.1-8B-Instruct,mmlu_stem,removal,perturb_word_shuffle,500,2.3472222222222223,0.12550647143746915,43,29
Llama-3.1-8B-Instruct,mmlu_stem,removal,perturb_step_reorder,500,41.80152671755725,1.0102450410793283e-10,103,28
Llama-3.1-8B-Instruct,mmlu_stem,removal,swap,500,10.414414414414415,0.0012503549718007002,38,73
Llama-3.1-8B-Instruct,mmlu_stem,removal,control_irrelevant,500,0.5538461538461539,0.4567504024231692,29,36
Llama-3.1-8B-Instruct,mmlu_stem,removal,reinject_original,500,77.98101265822785,1.040358033613241e-18,135,23
Llama-3.1-8B-Instruct,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,32.432432432432435,1.2340954631362596e-08,86,25
Llama-3.1-8B-Instruct,mmlu_stem,perturb_word_shuffle,swap,500,21.137614678899084,4.274548949438734e-06,30,79
Llama-3.1-8B-Instruct,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,6.349206349206349,0.011743382301172587,21,42
Llama-3.1-8B-Instruct,mmlu_stem,perturb_word_shuffle,reinject_original,500,67.20714285714286,2.4442693481461075e-16,119,21
Llama-3.1-8B-Instruct,mmlu_stem,perturb_step_reorder,swap,500,70.7202380952381,4.116479007341776e-17,29,139
Llama-3.1-8B-Instruct,mmlu_stem,perturb_step_reorder,control_irrelevant,500,49.70454545454545,1.787313578665789e-12,25,107
